,6
2014-02-28,"{'유니온': [94.0, 272.0, 364.0], '제일파마홀딩스': [106.0, 279.0, 475.0], '선창산업': [120.0, 302.0, 515.0], '조광피혁': [27.0, 369.0, 427.0], '문배철강': [149.0, 259.0, 404.0], '교보증권': [146.0, 261.0, 449.0], '황금에스티': [90.0, 284.0, 454.0], '진양화학': [69.0, 336.0, 483.0], '하이골드12호': [321.0, 116.5, 654.0], 'JB금융지주': [125.0, 116.5, 190.0]}"
2014-03-31,"{'삼양통상': [125.0, 327.0, 377.0], '제일파마홀딩스': [99.0, 280.0, 415.0], '조광피혁': [16.0, 441.0, 467.0], '문배철강': [107.0, 289.0, 437.0], '경동인베스트': [124.0, 260.0, 435.0], '교보증권': [101.0, 267.0, 404.0], '황금에스티': [80.0, 306.0, 412.0], '포스코강판': [140.0, 274.0, 560.0], 'JB금융지주': [220.0, 116.0, 223.0], '한진칼': [63.0, 116.0, 76.0]}"
2014-04-30,"{'고려산업': [115.0, 363.0, 570.0], '삼양통상': [117.0, 342.0, 439.0], '제일파마홀딩스': [61.0, 292.0, 410.0], '경동인베스트': [97.0, 266.0, 369.0], '동원시스템즈': [82.0, 411.0, 631.0], '교보증권': [50.0, 371.0, 311.0], '황금에스티': [79.0, 331.0, 421.0], '포스코강판': [125.0, 273.0, 577.0], 'JB금융지주': [236.0, 116.0, 228.0], '한진칼': [36.0, 116.0, 91.0]}"
2014-05-31,"{'고려산업': [84.0, 452.0, 405.0], '삼양통상': [109.0, 364.0, 486.0], '제일파마홀딩스': [26.0, 339.0, 370.0], '조광피혁': [29.0, 484.0, 547.0], '신송홀딩스': [202.0, 115.0, 388.0], '영화금속': [195.0, 292.0, 416.0], '경동인베스트': [138.0, 268.0, 418.0], '애경유화': [136.0, 358.0, 624.0], '한진칼': [32.0, 115.0, 120.0], '아세아시멘트': [160.0, 115.0, 267.0]}"
2014-06-30,"{'고려산업': [36.0, 513.0, 474.0], '삼양통상': [20.0, 442.0, 234.0], '제일파마홀딩스': [17.0, 331.0, 369.0], '보락': [122.0, 307.0, 661.0], '진양산업': [237.0, 254.0, 608.0], '삼아알미늄': [254.0, 246.0, 656.0], '영화금속': [206.0, 282.0, 326.0], '진양화학': [51.0, 486.0, 545.0], '한진칼': [93.0, 114.5, 78.0], '아세아시멘트': [162.0, 114.5, 332.0]}"
2014-07-31,"{'제일연마': [238.0, 266.0, 682.0], '삼양통상': [12.0, 491.0, 277.0], '조흥': [137.0, 306.0, 579.0], '제일파마홀딩스': [25.0, 385.0, 402.0], '보락': [154.0, 332.0, 679.0], '진양산업': [251.0, 250.0, 602.0], '삼아알미늄': [218.0, 258.0, 640.0], '신송홀딩스': [387.0, 113.5, 406.0], '영화금속': [243.0, 280.0, 293.0], '아세아시멘트': [200.0, 113.5, 288.0]}"
2014-08-31,"{'제일연마': [204.0, 272.0, 694.0], '남영비비안': [180.0, 307.0, 679.0], '제일파마홀딩스': [40.0, 413.0, 412.0], '진양산업': [238.0, 242.0, 605.0], '미래에셋대우': [127.0, 265.0, 36.0], '태경산업': [152.0, 262.0, 579.0], 'SK가스': [89.0, 353.0, 295.0], '티에이치엔': [183.0, 354.0, 665.0], '디씨엠': [190.0, 267.0, 476.0], '신세계 I&C': [145.0, 289.0, 394.0]}"
2014-09-30,"{'제일연마': [159.0, 282.0, 696.0], '일성신약': [183.0, 281.0, 608.0], '진양산업': [203.0, 245.0, 582.0], '동일산업': [220.0, 237.0, 509.0], '미래에셋대우': [140.0, 280.0, 52.0], '진양폴리': [208.0, 247.0, 602.0], '디씨엠': [194.0, 272.0, 435.0], '신세계 I&C': [97.0, 330.0, 383.0], '한국금융지주': [72.0, 313.0, 122.0], '동양고속': [207.0, 241.0, 623.0]}"
2014-10-31,"{'삼양홀딩스': [153.0, 303.0, 389.0], '제일연마': [142.0, 269.0, 701.0], '고려제강': [95.0, 245.0, 380.0], '진양산업': [161.0, 246.0, 525.0], '동일산업': [165.0, 250.0, 381.0], '아이에스동서': [20.0, 408.0, 203.0], '디씨엠': [99.0, 277.0, 339.0], 'S&T모티브': [100.0, 320.0, 300.0], '동양고속': [46.0, 349.0, 475.0], '코스맥스': [61.0, 111.5, 76.0]}"
2014-11-30,"{'삼양홀딩스': [122.0, 318.0, 393.0], '제일연마': [170.0, 269.0, 706.0], '고려제강': [34.0, 251.0, 314.0], '일성신약': [133.0, 292.0, 494.0], '동일산업': [131.0, 252.0, 475.0], '아이에스동서': [11.0, 415.0, 187.0], '디씨엠': [37.0, 278.0, 317.0], 'BGF': [89.0, 111.5, 275.0], 'S&T모티브': [48.0, 315.0, 268.0], '코스맥스': [115.0, 111.5, 87.0]}"
